Year,Month,Day_of_week,Weekend,Trips,Med_Income_Orig,Pop_den_Orig,Per_Male_Orig,Working_age_Orig,Elderly_Orig,Avg_Hhold_Orig,Married_Orig,F_Married_Orig,HighSchool_higher_Orig,Bachelor_Higher_Orig,Commute_PC_Orig,Com_LU_Orig,Gov_LU_Orig,Ind_LU_Orig,Parks_LU_Orig,Res_LU_Orig,Med_Income_Des,Pop_den_Des,Per_Male_Des,Working_age_Des,Elderly_Des,Avg_Hhold_Des,Married_Des,F_Married_Des,HighSchool_higher_Des,Bachelor_Higher_Des,Com_LU_Des,Com_LU_Des,Gov_LU_Des,Ind_LU_Des,Parks_LU_Des,Res_LU_Des,Avgerage_Temp,Precipitation,Snow,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index
2,3,6,1,3,59908.12,3685.093662,0.457,0.73,0.142,2.64,0.14,0.108,0.831,0.287,0.5,0.019648742,0.018146924,0.045105671,0.001779549,0.066818171,117606.56,7473.339533,0.49,0.847,0.092,2.03,0.268,0.252,0.975,0.729,0.651,0.040321537,0.006486046,0,0.000551319,0.167668688,3,0,0,40,0,23,0.1105,0,0,29.63
2,10,3,0,1,32430.96,1970.782384,0.495,0.639,0.19,2.05,0.266,0.251,0.743,0.167,0.602,0.013718768,0.004390525,0.010059874,0,0.040859394,135367.08,14904.09535,0.464,0.788,0.154,1.64,0.532,0.428,1,0.882,0.673,0.047927031,0.001666649,0,0.034408368,0.03946857,6,0,0,1889,4,91,0.113,0,0,56.02
2,10,3,0,3,55514.8,2199.948554,0.52,0.808,0.171,1.48,0.121,0.163,0.972,0.582,0.521,0.050319559,0.013219893,0,0.005066017,0.158733281,141794,2549.340139,0.466,0.893,0.036,1.91,0.242,0.195,0.944,0.714,0.634,0.066070659,0.156557188,0.046181541,0.001852403,0.033804549,11,0.69,0,364,4,35,0.0437,0,0,55.09
2,12,5,0,1,80230.48,16486.2075,0.489,0.825,0.116,1.72,0.42,0.282,0.943,0.593,0.677,0.039163688,0.034100754,0.002999942,0,0.220689514,171334.52,13585.49187,0.502,0.841,0.055,1.71,0.396,0.375,0.981,0.885,0.635,0.063723889,0.034170799,0.004285442,0.004039233,0.237820947,3,1.93,0,913,21,89,0.1199,0,0,61.11
3,1,3,0,1,24694.6,3110.495224,0.471,0.596,0.071,3.09,0.215,0.091,0.786,0.106,0.517,0.00954646,0.082021971,0,0,0.129558452,99150.4,7946.977566,0.407,0.676,0.297,1.53,0.55,0.378,0.982,0.814,0.643,0.033887404,0.175674727,0,0.023157887,0.040141326,-7,0,0,608,10,55,0.0488,0.056,0.017,57.41
2,6,0,0,1,135288.96,14177.20228,0.502,0.887,0.028,1.67,0.454,0.428,0.988,0.892,0.721,0.111274819,0.013904555,0,0.01919384,0.066354501,38170.92,1879.727404,0.442,0.665,0.104,2.51,0.198,0.13,0.822,0.114,0.424,0.012791835,0.042230499,0.113199947,0,0.05808139,25,1.47,0,218,9,30,0.0447,0,0,73.15
3,3,6,1,1,48567.08,7052.928806,0.365,0.65,0.117,2.06,0.247,0.177,0.889,0.434,0.387,0.035547978,0.033124294,0,0,0.152944692,25880.04,7774.86484,0.422,0.684,0.133,2.04,0.173,0.122,0.88,0.173,0.473,0.010034636,0.003104326,0,0,0.10894483,4,0,0,173,4,13,0.0436,0.165,0.087,54.63
2,10,4,0,1,169122.36,11142.36228,0.491,0.869,0.076,1.56,0.377,0.341,0.997,0.922,0.695,0.068033104,0.006621534,0.00366556,0.00278221,0.050580965,105987.76,5190.71825,0.476,0.637,0.187,2.61,0.501,0.457,0.929,0.386,0.315,0.048009826,0,0.045478425,0.004149712,0.188007662,10,0,0,415,3,28,0.047,0,0,55.09
2,11,2,0,1,184927.4,13792.66154,0.49,0.854,0.062,1.64,0.449,0.403,0.997,0.905,0.649,0.108184837,0.010487887,0.003748907,0.00885466,0.077963469,150660,9672.70831,0.603,0.929,0.024,2.03,0.34,0.305,0.973,0.769,0.637,0.037477988,0.001164298,0,0,0.074673167,8,0.81,0,1834,17,118,0.1185,0,0,61.11
3,3,3,0,1,117606.56,7473.339533,0.49,0.847,0.092,2.03,0.268,0.252,0.975,0.729,0.651,0.040321537,0.006486046,0,0.000551319,0.167668688,63992.68,5885.872005,0.58,0.686,0.171,2.45,0.32,0.409,0.741,0.392,0.438,0.032896067,0.008596038,0.028305704,0,0.070863049,7,0.28,0,669,3,34,0.0534,0.267,0.14,54.63
