Month,Day_of_week,Weekend,Cases,Deaths,Hospitalizations,Positive_Rate,Partially_Vaccinated,Fully_Vaccinated,Stringency_Index,Per_Reduction
6,1,0,254,23,37,0.0591,0,0,73.15,-0.922290223
2,6,1,212,8,43,0.0545,0.085,0.026,54.63,-0.805420062
9,6,1,109,6,18,0.0331,0,0,55.09,-0.810239235
3,0,0,366,6,39,0.0254,0.203,0.112,54.63,-0.847997703
7,1,0,342,4,26,0.0423,0,0,58.33,-0.868690214
6,5,0,170,20,38,0.083,0,0,73.15,-0.892248812
5,5,0,89,6,24,0.0239,0.528,0.445,50,-0.491904882
6,1,0,52,2,4,0.008,0.562,0.499,34.26,-0.781358577
7,0,0,98,0,8,0.0101,0.571,0.511,34.26,-0.817667583
3,5,0,252,2,17,0.0415,0.195,0.108,54.63,-0.467065469
6,6,1,24,4,6,0.008,0.547,0.477,37.96,-0.762047507
11,5,0,1373,17,123,0.1692,0,0,61.11,-0.866926469
5,3,0,246,4,39,0.0267,0.508,0.424,50,-0.74678707
2,2,0,337,4,29,0.0276,0.129,0.058,54.63,-0.827462669
7,2,0,268,7,24,0.0342,0,0,58.33,-0.827331438
8,6,1,120,3,20,0.0468,0,0,58.33,-0.858719688
8,3,0,349,4,22,0.0565,0,0,58.33,-0.811615207
4,0,0,863,5,64,0.0534,0.381,0.232,51.85,-0.861215294
5,1,0,128,3,23,0.0134,0.52,0.436,50,-0.811158523
7,6,1,100,2,23,0.0405,0,0,58.33,-0.872459638
4,3,0,576,4,68,0.0438,0.429,0.296,51.85,-0.790072319
3,6,1,282,20,130,0.3299,0,0,82.41,-0.98674409
4,6,1,341,33,138,0.3114,0,0,82.41,-0.986977619
1,3,0,1382,17,92,0.09,0.02,0.002,57.41,-0.853929346
